"","is_in_union","division_numeric_code","population_count","age_range","mid_year"
"1","Y",72,64076,"15-49",1970
"2","Y",72,65638,"15-49",1971
"3","Y",72,67074,"15-49",1972
"4","Y",72,68747,"15-49",1973
"5","Y",72,70733,"15-49",1974
"6","Y",72,73075,"15-49",1975
"7","Y",72,75760,"15-49",1976
"8","Y",72,78815,"15-49",1977
"9","Y",72,82087,"15-49",1978
"10","Y",72,85406,"15-49",1979
"11","Y",72,88680,"15-49",1980
"12","Y",72,91684,"15-49",1981
"13","Y",72,94601,"15-49",1982
"14","Y",72,97577,"15-49",1983
"15","Y",72,100801,"15-49",1984
"16","Y",72,104417,"15-49",1985
"17","Y",72,108244,"15-49",1986
"18","Y",72,112648,"15-49",1987
"19","Y",72,117447,"15-49",1988
"20","Y",72,122359,"15-49",1989
"21","Y",72,127208,"15-49",1990
"22","Y",72,131602,"15-49",1991
"23","Y",72,135709,"15-49",1992
"24","Y",72,139709,"15-49",1993
"25","Y",72,143897,"15-49",1994
"26","Y",72,148461,"15-49",1995
"27","Y",72,152674,"15-49",1996
"28","Y",72,157292,"15-49",1997
"29","Y",72,162140,"15-49",1998
"30","Y",72,166922,"15-49",1999
"31","Y",72,171475,"15-49",2000
"32","Y",72,175272,"15-49",2001
"33","Y",72,180210,"15-49",2002
"34","Y",72,185035,"15-49",2003
"35","Y",72,190035,"15-49",2004
"36","Y",72,195380,"15-49",2005
"37","Y",72,201191,"15-49",2006
"38","Y",72,207352,"15-49",2007
"39","Y",72,213683,"15-49",2008
"40","Y",72,219935,"15-49",2009
"41","Y",72,225977,"15-49",2010
"42","Y",72,231517,"15-49",2011
"43","Y",72,236560,"15-49",2012
"44","Y",72,241279,"15-49",2013
"45","Y",72,245990,"15-49",2014
"46","Y",72,250940,"15-49",2015
"47","Y",72,257298,"15-49",2016
"48","Y",72,264231,"15-49",2017
"49","Y",72,271482,"15-49",2018
"50","Y",72,278683,"15-49",2019
"51","Y",72,285599,"15-49",2020
"52","Y",72,292322,"15-49",2021
"53","Y",72,298759,"15-49",2022
"54","Y",72,304972,"15-49",2023
"55","Y",72,311062,"15-49",2024
"56","Y",72,317090,"15-49",2025
"57","Y",72,323057,"15-49",2026
"58","Y",72,328889,"15-49",2027
"59","Y",72,334644,"15-49",2028
"60","Y",72,340390,"15-49",2029
"61","Y",72,346152,"15-49",2030
