"","is_in_union","division_numeric_code","population_count","age_range","mid_year"
"1","Y",4,2030527,"15-49",1970
"2","Y",4,2076346,"15-49",1971
"3","Y",4,2126334,"15-49",1972
"4","Y",4,2178123,"15-49",1973
"5","Y",4,2221667,"15-49",1974
"6","Y",4,2262371,"15-49",1975
"7","Y",4,2288437,"15-49",1976
"8","Y",4,2311098,"15-49",1977
"9","Y",4,2325420,"15-49",1978
"10","Y",4,2325997,"15-49",1979
"11","Y",4,2310846,"15-49",1980
"12","Y",4,2258775,"15-49",1981
"13","Y",4,2192327,"15-49",1982
"14","Y",4,2119976,"15-49",1983
"15","Y",4,2051826,"15-49",1984
"16","Y",4,1994965,"15-49",1985
"17","Y",4,1948454,"15-49",1986
"18","Y",4,1919422,"15-49",1987
"19","Y",4,1915438,"15-49",1988
"20","Y",4,1944770,"15-49",1989
"21","Y",4,2009017,"15-49",1990
"22","Y",4,2133867,"15-49",1991
"23","Y",4,2301710,"15-49",1992
"24","Y",4,2487103,"15-49",1993
"25","Y",4,2660770,"15-49",1994
"26","Y",4,2806387,"15-49",1995
"27","Y",4,2893228,"15-49",1996
"28","Y",4,2942558,"15-49",1997
"29","Y",4,2974563,"15-49",1998
"30","Y",4,3014560,"15-49",1999
"31","Y",4,3077727,"15-49",2000
"32","Y",4,3179565,"15-49",2001
"33","Y",4,3312722,"15-49",2002
"34","Y",4,3464983,"15-49",2003
"35","Y",4,3619541,"15-49",2004
"36","Y",4,3765805,"15-49",2005
"37","Y",4,3874927,"15-49",2006
"38","Y",4,3967331,"15-49",2007
"39","Y",4,4051728,"15-49",2008
"40","Y",4,4141253,"15-49",2009
"41","Y",4,4244666,"15-49",2010
"42","Y",4,4416152,"15-49",2011
"43","Y",4,4615592,"15-49",2012
"44","Y",4,4837590,"15-49",2013
"45","Y",4,5073110,"15-49",2014
"46","Y",4,5315624,"15-49",2015
"47","Y",4,5550200,"15-49",2016
"48","Y",4,5779812,"15-49",2017
"49","Y",4,6007276,"15-49",2018
"50","Y",4,6237893,"15-49",2019
"51","Y",4,6474727,"15-49",2020
"52","Y",4,6717891,"15-49",2021
"53","Y",4,6966859,"15-49",2022
"54","Y",4,7218716,"15-49",2023
"55","Y",4,7469530,"15-49",2024
"56","Y",4,7716877,"15-49",2025
"57","Y",4,7965743,"15-49",2026
"58","Y",4,8211123,"15-49",2027
"59","Y",4,8450536,"15-49",2028
"60","Y",4,8681930,"15-49",2029
"61","Y",4,8903844,"15-49",2030
