iso.j,name.j,years.j,props.tot.j,props.modern.j,props.trad.j,start.j,end.j,age.cat.j,source.j,poptype.j,geo.j,posbias.j,folkbias.j,mod.bias.j,probe.bias.j,props.unmet.j,source.unmet.j,rounded.up,less.than.1.pc,se.logR.trad.nouse,se.logR.modern.nouse,se.logR.unmet.noneed,include.trad.ses,include.modern.ses,include.unmet.ses
170,Colombia,1980,0.486,0.41,0.076,1980,1980,0,NS,MW,,,,,0,NA,Other,FALSE,FALSE,NA,NA,NA,0,0,0
170,Colombia,1990.4958904999999,0.66087836,0.546128465,0.114749894,1990.328767,1990.663014,0,DHS,MW,,,,,0,0.137289999,DHS,FALSE,FALSE,0.077775504,0.05000368,0.070463531,1,1,1
170,Colombia,2000.2896175,0.769353927,0.639989451,0.129364476,2000.084699,2000.494536,0,DHS,MW,,,,,0,0.100397622,DHS,FALSE,FALSE,0.050880191,0.035587724,0.058687445,1,1,1
170,Colombia,2010.372603,0.789869799,0.728762016,0.061107783,2009.832877,2010.912329,0,DHS,MW,,,,,0,0.081367566,DHS,FALSE,FALSE,0.03620551,0.019672492,0.034289419,1,1,1
170,Colombia,2005.1208925,0.780993248,0.68059358700000006,0.100399661,2004.748634,2005.493151,0,DHS,MW,,,,,0,0.086882526,DHS,FALSE,FALSE,0.035488214,0.023873277,0.042102427,1,1,1
170,Colombia,2015.665417,0.809150661,0.759004533,0.050146128,2015.084932,2016.245902,0,DHS,MW,,,,,0,0.070374358,DHS,FALSE,FALSE,0.068914673,0.037109533,0.062827552,1,1,1
170,Colombia,1976.480874,0.424,0.304,0.12,1976.355191,1976.606557,0,Other,MW,,,,,0,NA,Other,FALSE,FALSE,NA,NA,NA,0,0,0
170,Colombia,1986.8315065000002,0.6478072,0.524439094,0.123368107,1986.665753,1986.99726,0,DHS,MW,,,,,0,0.135,DHS,FALSE,FALSE,NA,NA,NA,0,0,0
170,Colombia,1978.8835615,0.266,0.217,0.049,1978.808219,1978.958904,0,Other,AL,,,,,0,NA,Other,FALSE,FALSE,NA,NA,NA,0,0,0
170,Colombia,1969.3547945,0.204,0.089,0.115,1969.038356,1969.671233,0,NS,MW,,,,,0,NA,Other,FALSE,FALSE,NA,NA,NA,0,0,0
170,Colombia,1995.3273975,0.721961725,0.593198984,0.12876274100000001,1995.161644,1995.493151,0,DHS,MW,,,,,0,0.113786868,DHS,FALSE,FALSE,0.046610147,0.033921273,0.05142266,1,1,1
795,Turkmenistan,2006,0.48001194,0.46788694,0.012124999,2006,2006,0,MICS,MW,,,,,1,NA,Other,FALSE,FALSE,0.210447649,0.045897186,NaN,1,1,0
795,Turkmenistan,2015.8711804999998,0.50206097,0.470982069,0.0310789,2015.70411,2016.038251,0,MICS,MW,,,,,0,0.121247078,Other,FALSE,FALSE,0.107543682,0.043294331,0.053041018,1,1,1
795,Turkmenistan,2000.6639344999999,0.618,0.531,0.087,2000.497268,2000.830601,0,DHS,MW,,,,,0,0.131,DHS,FALSE,FALSE,NA,NA,NA,0,0,0
218,Ecuador,1999.49589,0.665,0.517,0.148,1999.246575,1999.745205,0,Other,MW,,,,,0,0.1,Other,FALSE,FALSE,NA,NA,NA,0,0,0
218,Ecuador,1989.6479450000002,0.528,0.415,0.113,1989.547945,1989.747945,0,Other,MW,,,,,0,0.246,Other,FALSE,FALSE,NA,NA,NA,0,0,0
218,Ecuador,1994.557534,0.568,0.457,0.111,1994.49589,1994.619178,0,Other,MW,,,,,0,0.152,Other,FALSE,FALSE,NA,NA,NA,0,0,0
218,Ecuador,1987.121918,0.44267839,0.358133243,0.084545147,1987,1987.243836,0,DHS,MW,,,,,0,0.242,DHS,FALSE,FALSE,NA,NA,NA,0,0,0
218,Ecuador,2009.9937869999999,0.799,0.715,0.084,2007.452055,2012.535519,0,NS,MW,,,,,0,0.088,Other,FALSE,FALSE,NA,NA,NA,0,0,0
