"unmet" "mod" "trad"
"1" 6000 5557 6298
"2" 6000 6000 6248
"3" 6527 6000 6000
"4" 6000 6000 6192
"5" 6570 6000 6294
"6" 6517 6000 6000
"7" 6000 6000 6000
"8" 6381 6000 6000
"9" 6681 6000 6138
"10" 6000 5824 6000
"11" 6000 5606 6000
"12" 6000 6000 6000
"13" 6000 5352 6000
"14" 6000 6000 6000
"15" 6000 6000 6000
"16" 6000 6000 6061
"17" 5759 6000 6000
"18" 6000 5558 6000
"19" 5782 5705 6540
"20" 6000 6000 6587
"21" 6957 5459 6344
"22" 6000 6000 6000
"23" 6000 5768 6000
"24" 6000 6000 6000
"25" 5751 6000 6000
"26" 6000 6000 5743
"27" 6000 5468 6000
"28" 6002 6000 6391
"29" 6000 6505 6523
"30" 7629 6000 6318
"31" 7780 6000 6000
"32" 6316 6000 6000
"33" 6000 6000 6000
"34" 6000 6000 6000
"35" 6000 6569 6000
"36" 6000 6000 6000
"37" 6000 6000 6000
"38" 6000 6000 6000
"39" 6175 6000 5738
"40" 6175 6180 6000
"41" 6000 5757 5706
"42" 6000 5662 5704
"43" 6000 6000 5491
"44" 6000 6000 5321
"45" 6000 5749 5669
"46" 6000 5592 5637
"47" 6000 5567 5595
"48" 6000 5562 5574
"49" 6000 5547 5557
"50" 6000 5549 5532
"51" 6000 5528 5554
"52" 6000 5494 5642
"53" 6000 5488 5558
"54" 6000 5509 5643
"55" 5783 5542 5668
"56" 5182 5510 5618
